0.0,12.0,0.0,12.0,12.5
0.0,7.0,0.0,7.0,7.142857
33.333333,6.0,2.0,4.0,0.0
12.5,8.0,1.0,7.0,13.541666
0.0,7.0,0.0,7.0,17.857143
33.333333,3.0,1.0,2.0,8.333333
0.0,0.0,0.0,0.0,0.0
0.0,3.0,0.0,3.0,33.333333
0.0,1.0,0.0,1.0,0.0
10.0,10.0,1.0,9.0,0.0
11.764706,19.0,4.0,15.0,5.147059
0.0,2.0,1.0,1.0,0.0
0.0,1.0,0.0,1.0,0.0
0.0,7.0,0.0,7.0,10.714285
25.0,5.0,2.0,3.0,0.0
0.0,6.0,0.0,6.0,0.0
18.181818,11.0,2.0,9.0,5.681818
0.0,1.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
20.0,5.0,1.0,4.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,2.0,1.0,1.0,0.0
0.0,3.0,0.0,3.0,8.333333
40.0,5.0,2.0,3.0,15.0
0.0,7.0,0.0,7.0,0.0
0.0,8.0,0.0,8.0,12.5
13.333333,15.0,2.0,13.0,10.512821
33.333333,6.0,2.0,4.0,4.166667
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,2.0,0.0,2.0,12.5
0.0,0.0,0.0,0.0,0.0
